Model_Name,Case,Learning_Rate,Epochs,Transformation,Rotation,Loss_Function,MSE,MAE,Cosine_Similarity
pointnetpp,case_k_003_left,0.1,30,zerocenter,False,mse,0.14116105437278748,0.2282951921224594,0.17320749163627625
pointnetpp,case_k_008_right,0.1,30,zerocenter,False,mse,0.0423026867210865,0.15411381423473358,0.22423771023750305
pointnetpp,case_m_006_left,0.1,30,zerocenter,False,mse,0.03578023612499237,0.1459009349346161,0.393444299697876
pointnetpp,case_w_027_right,0.1,30,zerocenter,False,mse,0.05059449002146721,0.16943149268627167,0.17385099828243256
pointnetpp,case_w_038_left,0.1,30,zerocenter,False,mse,0.06664277613162994,0.19131681323051453,0.2728968560695648
pointnetpp,bifurication,0.1,30,zerocenter,False,mse,0.01953333243727684,0.1104002296924591,0.5429804921150208
pointnetpp,aneurysm2,0.1,30,zerocenter,False,mse,0.02693229913711548,0.12756967544555664,0.06532428413629532
pointnetpp,aneurysm1,0.1,30,zerocenter,False,mse,0.029722092673182487,0.13445337116718292,0.1342802345752716
pointnetpp,cylinder,0.1,30,zerocenter,False,mse,0.017725840210914612,0.10651450604200363,0.6012089252471924
pointnetpp,case_k_003_left,0.1,30,zerocenter,True,mse,0.13479039072990417,0.211081862449646,0.18337073922157288
pointnetpp,case_k_008_right,0.1,30,zerocenter,True,mse,0.03420009836554527,0.12978550791740417,0.271476149559021
pointnetpp,case_m_006_left,0.1,30,zerocenter,True,mse,0.029443835839629173,0.12404569238424301,0.4504848122596741
pointnetpp,case_w_027_right,0.1,30,zerocenter,True,mse,0.04287819564342499,0.14780926704406738,0.19645147025585175
pointnetpp,case_w_038_left,0.1,30,zerocenter,True,mse,0.06109928712248802,0.1751476675271988,0.2994592487812042
pointnetpp,bifurication,0.1,30,zerocenter,True,mse,0.010963831096887589,0.07591479271650314,0.6351100206375122
pointnetpp,aneurysm2,0.1,30,zerocenter,True,mse,0.017725005745887756,0.0955062136054039,0.08064471185207367
pointnetpp,aneurysm1,0.1,30,zerocenter,True,mse,0.020867494866251945,0.1076495572924614,0.14775367081165314
pointnetpp,cylinder,0.1,30,zerocenter,True,mse,0.009993401356041431,0.07222859561443329,0.7031449675559998
pointnetpp,case_k_003_left,0.1,30,rel,False,mse,0.1982174962759018,0.285664439201355,0.16810134053230286
pointnetpp,case_k_008_right,0.1,30,rel,False,mse,0.08904536068439484,0.18901151418685913,0.2773347795009613
pointnetpp,case_m_006_left,0.1,30,rel,False,mse,0.06928706169128418,0.17602474987506866,0.45969918370246887
pointnetpp,case_w_027_right,0.1,30,rel,False,mse,0.0667772889137268,0.18018494546413422,0.2051958441734314
pointnetpp,case_w_038_left,0.1,30,rel,False,mse,0.08351162075996399,0.2022983878850937,0.3264703154563904
pointnetpp,bifurication,0.1,30,rel,False,mse,0.014514544978737831,0.08998528122901917,0.6871174573898315
pointnetpp,aneurysm2,0.1,30,rel,False,mse,0.02610025741159916,0.121070995926857,0.10531216859817505
pointnetpp,aneurysm1,0.1,30,rel,False,mse,0.029234806075692177,0.12961527705192566,0.15143075585365295
pointnetpp,cylinder,0.1,30,rel,False,mse,0.020850978791713715,0.10508275032043457,0.6902355551719666
pointnetpp,case_k_003_left,0.01,30,zerocenter,True,mse,0.1277550905942917,0.1992054432630539,0.2653452157974243
pointnetpp,case_k_008_right,0.01,30,zerocenter,True,mse,0.02866647206246853,0.11658862233161926,0.3596299886703491
pointnetpp,case_m_006_left,0.01,30,zerocenter,True,mse,0.022397683933377266,0.10774539411067963,0.6009106040000916
pointnetpp,case_w_027_right,0.01,30,zerocenter,True,mse,0.03747837617993355,0.1364220529794693,0.26054826378822327
pointnetpp,case_w_038_left,0.01,30,zerocenter,True,mse,0.05321206897497177,0.1610175371170044,0.4151442348957062
pointnetpp,bifurication,0.01,30,zerocenter,True,mse,0.006313098594546318,0.05587306246161461,0.8455614447593689
pointnetpp,aneurysm2,0.01,30,zerocenter,True,mse,0.013542999513447285,0.08129942417144775,0.11468730866909027
pointnetpp,aneurysm1,0.01,30,zerocenter,True,mse,0.016779394820332527,0.0968296229839325,0.19949407875537872
pointnetpp,cylinder,0.01,30,zerocenter,True,mse,0.004262283910065889,0.04337075352668762,0.9359520077705383
pointnetpp,case_k_003_left,0.01,30,zerocenter,False,mse,0.13527235388755798,0.21432936191558838,0.23329761624336243
pointnetpp,case_k_008_right,0.01,30,zerocenter,False,mse,0.03750954568386078,0.14202076196670532,0.3309638202190399
pointnetpp,case_m_006_left,0.01,30,zerocenter,False,mse,0.03341304138302803,0.13939939439296722,0.46351656317710876
pointnetpp,case_w_027_right,0.01,30,zerocenter,False,mse,0.044371362775564194,0.1561800092458725,0.2244647741317749
pointnetpp,case_w_038_left,0.01,30,zerocenter,False,mse,0.06079639121890068,0.18075288832187653,0.34444957971572876
pointnetpp,bifurication,0.01,30,zerocenter,False,mse,0.014441578648984432,0.09404101967811584,0.7149484157562256
pointnetpp,aneurysm2,0.01,30,zerocenter,False,mse,0.020168809220194817,0.10854245722293854,0.1139683648943901
pointnetpp,aneurysm1,0.01,30,zerocenter,False,mse,0.024509252980351448,0.12256316095590591,0.16380178928375244
pointnetpp,cylinder,0.01,30,zerocenter,False,mse,0.011941833421587944,0.08470769226551056,0.8004249930381775
pointnetpp,case_k_003_left,0.01,30,rel,False,mse,0.13965214788913727,0.22566615045070648,0.20341894030570984
pointnetpp,case_k_008_right,0.01,30,rel,False,mse,0.04216669499874115,0.14949990808963776,0.28332728147506714
pointnetpp,case_m_006_left,0.01,30,rel,False,mse,0.033994581550359726,0.1407112330198288,0.4935276508331299
pointnetpp,case_w_027_right,0.01,30,rel,False,mse,0.05584028363227844,0.1777324080467224,0.1996302604675293
pointnetpp,case_w_038_left,0.01,30,rel,False,mse,0.06759229302406311,0.19065484404563904,0.3238791823387146
pointnetpp,bifurication,0.01,30,rel,False,mse,0.01912766322493553,0.10605353862047195,0.6923202276229858
pointnetpp,aneurysm2,0.01,30,rel,False,mse,0.029647251591086388,0.13304360210895538,0.09596621990203857
pointnetpp,aneurysm1,0.01,30,rel,False,mse,0.02953932248055935,0.13478511571884155,0.1573202759027481
pointnetpp,cylinder,0.01,30,rel,False,mse,0.018230905756354332,0.10566557943820953,0.7348547577857971
pointnetpp,case_k_003_left,0.001,30,zerocenter,True,mse,0.127802774310112,0.19843444228172302,0.2618328630924225
pointnetpp,case_k_008_right,0.001,30,zerocenter,True,mse,0.028522055596113205,0.11430982500314713,0.36433935165405273
pointnetpp,case_m_006_left,0.001,30,zerocenter,True,mse,0.021386027336120605,0.10366794466972351,0.6138125061988831
pointnetpp,case_w_027_right,0.001,30,zerocenter,True,mse,0.036973126232624054,0.13377760350704193,0.26783138513565063
pointnetpp,case_w_038_left,0.001,30,zerocenter,True,mse,0.05261457711458206,0.15940812230110168,0.4166622757911682
pointnetpp,bifurication,0.001,30,zerocenter,True,mse,0.006139568984508514,0.0513528473675251,0.8598220944404602
pointnetpp,aneurysm2,0.001,30,zerocenter,True,mse,0.013564709573984146,0.07797952741384506,0.1096186414361
pointnetpp,aneurysm1,0.001,30,zerocenter,True,mse,0.016629980877041817,0.09481140226125717,0.20345807075500488
pointnetpp,cylinder,0.001,30,zerocenter,True,mse,0.0037853759713470936,0.03525253012776375,0.9517821669578552
pointnetpp,case_k_003_left,0.001,30,zerocenter,False,mse,0.12830784916877747,0.19990399479866028,0.2572340667247772
pointnetpp,case_k_008_right,0.001,30,zerocenter,False,mse,0.02912764437496662,0.11930659413337708,0.3496560752391815
pointnetpp,case_m_006_left,0.001,30,zerocenter,False,mse,0.026319563388824463,0.11718355864286423,0.5185264945030212
pointnetpp,case_w_027_right,0.001,30,zerocenter,False,mse,0.03861991688609123,0.14022338390350342,0.2383546531200409
pointnetpp,case_w_038_left,0.001,30,zerocenter,False,mse,0.05577930808067322,0.16483324766159058,0.39099743962287903
pointnetpp,bifurication,0.001,30,zerocenter,False,mse,0.006559424102306366,0.06003016605973244,0.8138801455497742
pointnetpp,aneurysm2,0.001,30,zerocenter,False,mse,0.013074249029159546,0.08266323059797287,0.13196346163749695
pointnetpp,aneurysm1,0.001,30,zerocenter,False,mse,0.017001327127218246,0.09988515079021454,0.1835893839597702
pointnetpp,cylinder,0.001,30,zerocenter,False,mse,0.004922706633806229,0.05121154710650444,0.9035757184028625
pointnetpp,case_k_003_left,0.001,30,rel,False,mse,0.13057056069374084,0.20784969627857208,0.24302616715431213
pointnetpp,case_k_008_right,0.001,30,rel,False,mse,0.03034786880016327,0.12183967232704163,0.3575945198535919
pointnetpp,case_m_006_left,0.001,30,rel,False,mse,0.0223337784409523,0.10950317978858948,0.6072700023651123
pointnetpp,case_w_027_right,0.001,30,rel,False,mse,0.03869326412677765,0.14053595066070557,0.24972155690193176
pointnetpp,case_w_038_left,0.001,30,rel,False,mse,0.05344752222299576,0.16386234760284424,0.40580928325653076
pointnetpp,bifurication,0.001,30,rel,False,mse,0.008670512586832047,0.0667254626750946,0.8308324217796326
pointnetpp,aneurysm2,0.001,30,rel,False,mse,0.016601309180259705,0.09160144627094269,0.12184282392263412
pointnetpp,aneurysm1,0.001,30,rel,False,mse,0.018643731251358986,0.10330801457166672,0.18913652002811432
pointnetpp,cylinder,0.001,30,rel,False,mse,0.006574499886482954,0.05547746643424034,0.9250883460044861
pointnetpp,case_k_003_left,0.0001,30,zerocenter,True,mse,0.1329163908958435,0.20819731056690216,0.25982940196990967
pointnetpp,case_k_008_right,0.0001,30,zerocenter,True,mse,0.02989966608583927,0.11784376949071884,0.3649490773677826
pointnetpp,case_m_006_left,0.0001,30,zerocenter,True,mse,0.024027658626437187,0.10682692378759384,0.5905139446258545
pointnetpp,case_w_027_right,0.0001,30,zerocenter,True,mse,0.040342677384614944,0.13991665840148926,0.2633300721645355
pointnetpp,case_w_038_left,0.0001,30,zerocenter,True,mse,0.05489755794405937,0.16136886179447174,0.4124603867530823
pointnetpp,bifurication,0.0001,30,zerocenter,True,mse,0.0040634009055793285,0.04389555752277374,0.8525768518447876
pointnetpp,aneurysm2,0.0001,30,zerocenter,True,mse,0.010468109510838985,0.06921369582414627,0.11550990492105484
pointnetpp,aneurysm1,0.0001,30,zerocenter,True,mse,0.013877510093152523,0.08819201588630676,0.19959230720996857
pointnetpp,cylinder,0.0001,30,zerocenter,True,mse,0.004480933770537376,0.04213036224246025,0.9453790187835693
