Model_Name,Case,Learning_Rate,Epochs,Transformation,Rotation,Loss_Function,MSE,MAE,Cosine_Similarity
small_sample_linear_autoencoder,case_k_003_left,0.1,30,unitcube,True,mse,0.12929928302764893,0.2021392434835434,0.25034722685813904
small_sample_linear_autoencoder,case_k_008_right,0.1,30,unitcube,True,mse,0.029464663937687874,0.11733241379261017,0.36112651228904724
small_sample_linear_autoencoder,case_m_006_left,0.1,30,unitcube,True,mse,0.02146184630692005,0.10509875416755676,0.6118654012680054
small_sample_linear_autoencoder,case_w_027_right,0.1,30,unitcube,True,mse,0.03753098472952843,0.13579173386096954,0.2694973945617676
small_sample_linear_autoencoder,case_w_038_left,0.1,30,unitcube,True,mse,0.053235333412885666,0.1621989905834198,0.407266765832901
small_sample_linear_autoencoder,bifurication,0.1,30,unitcube,True,mse,0.007253926247358322,0.056994471698999405,0.8559502959251404
small_sample_linear_autoencoder,aneurysm2,0.1,30,unitcube,True,mse,0.014878583140671253,0.08302494138479233,0.10333405435085297
small_sample_linear_autoencoder,aneurysm1,0.1,30,unitcube,True,mse,0.017792833968997,0.09816248714923859,0.2020740956068039
small_sample_linear_autoencoder,cylinder,0.1,30,unitcube,True,mse,0.004529491998255253,0.040712710469961166,0.9474382400512695
small_sample_linear_autoencoder,case_k_003_left,0.1,30,unitcube,False,mse,0.12907470762729645,0.20207428932189941,0.26593902707099915
small_sample_linear_autoencoder,case_k_008_right,0.1,30,unitcube,False,mse,0.02942483127117157,0.11827042698860168,0.3704412281513214
small_sample_linear_autoencoder,case_m_006_left,0.1,30,unitcube,False,mse,0.022509915754199028,0.11015241593122482,0.5923206806182861
small_sample_linear_autoencoder,case_w_027_right,0.1,30,unitcube,False,mse,0.03887195140123367,0.13992920517921448,0.25254806876182556
small_sample_linear_autoencoder,case_w_038_left,0.1,30,unitcube,False,mse,0.05331793427467346,0.16217190027236938,0.41196051239967346
small_sample_linear_autoencoder,bifurication,0.1,30,unitcube,False,mse,0.008172141388058662,0.06166969612240791,0.8502875566482544
small_sample_linear_autoencoder,aneurysm2,0.1,30,unitcube,False,mse,0.015404491685330868,0.08495524525642395,0.13418784737586975
small_sample_linear_autoencoder,aneurysm1,0.1,30,unitcube,False,mse,0.019304970279335976,0.10327552258968353,0.1921769678592682
small_sample_linear_autoencoder,cylinder,0.1,30,unitcube,False,mse,0.005153884645551443,0.04596109315752983,0.9415198564529419
small_sample_linear_autoencoder,case_k_003_left,0.1,30,zerocenter,True,mse,0.1279378980398178,0.19856640696525574,0.26230886578559875
small_sample_linear_autoencoder,case_k_008_right,0.1,30,zerocenter,True,mse,0.028401756659150124,0.11390978842973709,0.36567142605781555
small_sample_linear_autoencoder,case_m_006_left,0.1,30,zerocenter,True,mse,0.021358462050557137,0.10383722931146622,0.6112591028213501
small_sample_linear_autoencoder,case_w_027_right,0.1,30,zerocenter,True,mse,0.037025049328804016,0.1338633894920349,0.26616302132606506
small_sample_linear_autoencoder,case_w_038_left,0.1,30,zerocenter,True,mse,0.052554093301296234,0.15924492478370667,0.4161035716533661
small_sample_linear_autoencoder,bifurication,0.1,30,zerocenter,True,mse,0.006353524513542652,0.0517524816095829,0.8603883981704712
small_sample_linear_autoencoder,aneurysm2,0.1,30,zerocenter,True,mse,0.01375288050621748,0.07794052362442017,0.11451949179172516
small_sample_linear_autoencoder,aneurysm1,0.1,30,zerocenter,True,mse,0.01695135235786438,0.09562472254037857,0.20169122517108917
small_sample_linear_autoencoder,cylinder,0.1,30,zerocenter,True,mse,0.0038709177169948816,0.03504612296819687,0.9524893164634705
small_sample_linear_autoencoder,case_k_003_left,0.1,30,zerocenter,False,mse,0.1274133324623108,0.19796240329742432,0.2729369103908539
small_sample_linear_autoencoder,case_k_008_right,0.1,30,zerocenter,False,mse,0.02774950861930847,0.1145634576678276,0.3706311881542206
small_sample_linear_autoencoder,case_m_006_left,0.1,30,zerocenter,False,mse,0.022639703005552292,0.10940854251384735,0.5878543853759766
small_sample_linear_autoencoder,case_w_027_right,0.1,30,zerocenter,False,mse,0.03765236213803291,0.13716697692871094,0.2486724555492401
small_sample_linear_autoencoder,case_w_038_left,0.1,30,zerocenter,False,mse,0.05307231843471527,0.16015835106372833,0.415736585855484
small_sample_linear_autoencoder,bifurication,0.1,30,zerocenter,False,mse,140.84046936035156,0.46786195039749146,0.8450542092323303
small_sample_linear_autoencoder,aneurysm2,0.1,30,zerocenter,False,mse,0.013026892207562923,0.07911846786737442,0.14068996906280518
small_sample_linear_autoencoder,aneurysm1,0.1,30,zerocenter,False,mse,1.878614068031311,0.14753544330596924,0.19101639091968536
small_sample_linear_autoencoder,cylinder,0.1,30,zerocenter,False,mse,1016.512451171875,1.019193410873413,0.9319248199462891
small_sample_linear_autoencoder,case_k_003_left,0.1,30,grid64,False,mse,0.14672325551509857,0.24805063009262085,0.7029966115951538
small_sample_linear_autoencoder,case_k_008_right,0.1,30,grid64,False,mse,0.04523230344057083,0.15130238234996796,0.8359941244125366
small_sample_linear_autoencoder,case_m_006_left,0.1,30,grid64,False,mse,0.02520902454853058,0.12739577889442444,0.8836443424224854
small_sample_linear_autoencoder,case_w_027_right,0.1,30,grid64,False,mse,0.04640546441078186,0.1645873337984085,0.792815089225769
small_sample_linear_autoencoder,case_w_038_left,0.1,30,grid64,False,mse,0.05335935577750206,0.17243818938732147,0.8250088691711426
small_sample_linear_autoencoder,bifurication,0.1,30,grid64,False,mse,0.050915420055389404,0.15438459813594818,0.9068647623062134
small_sample_linear_autoencoder,aneurysm2,0.1,30,grid64,False,mse,0.05952339991927147,0.16839291155338287,0.14036382734775543
small_sample_linear_autoencoder,aneurysm1,0.1,30,grid64,False,mse,0.06562205404043198,0.18233609199523926,0.21876543760299683
small_sample_linear_autoencoder,cylinder,0.1,30,grid64,False,mse,0.036315612494945526,0.13093629479408264,0.9864077568054199
small_sample_linear_autoencoder,case_k_003_left,0.1,30,grid128,False,mse,0.14969980716705322,0.24782885611057281,0.7062029242515564
small_sample_linear_autoencoder,case_k_008_right,0.1,30,grid128,False,mse,0.04319087415933609,0.1416470855474472,0.8420933485031128
small_sample_linear_autoencoder,case_m_006_left,0.1,30,grid128,False,mse,0.028826093301177025,0.13740859925746918,0.8653140664100647
small_sample_linear_autoencoder,case_w_027_right,0.1,30,grid128,False,mse,0.045648518949747086,0.1632695198059082,0.7937881946563721
small_sample_linear_autoencoder,case_w_038_left,0.1,30,grid128,False,mse,0.05634050816297531,0.17281293869018555,0.8100095391273499
small_sample_linear_autoencoder,aneurysm1,0.1,30,grid128,False,mse,0.022461432963609695,0.12267224490642548,0.8202263116836548
small_sample_linear_autoencoder,aneurysm2,0.1,30,grid128,False,mse,0.037078749388456345,0.16774922609329224,0.8031858801841736
small_sample_linear_autoencoder,bifurication,0.1,30,grid128,False,mse,0.03821425884962082,0.13977783918380737,0.9017972946166992
small_sample_linear_autoencoder,cylinder,0.1,30,grid128,False,mse,0.026975037530064583,0.11868099868297577,0.9801813364028931
small_sample_linear_autoencoder,case_k_003_left,0.01,30,unitcube,True,mse,0.12823128700256348,0.20034159719944,0.2591618001461029
small_sample_linear_autoencoder,case_k_008_right,0.01,30,unitcube,True,mse,0.028866752982139587,0.11643294990062714,0.35922151803970337
small_sample_linear_autoencoder,case_m_006_left,0.01,30,unitcube,True,mse,0.02158699370920658,0.10534556955099106,0.6108322739601135
small_sample_linear_autoencoder,case_w_027_right,0.01,30,unitcube,True,mse,0.03718990832567215,0.13531121611595154,0.26809075474739075
small_sample_linear_autoencoder,case_w_038_left,0.01,30,unitcube,True,mse,0.052856408059597015,0.160964697599411,0.4142746031284332
small_sample_linear_autoencoder,bifurication,0.01,30,unitcube,True,mse,0.006627731490880251,0.055670514702796936,0.853720486164093
small_sample_linear_autoencoder,aneurysm2,0.01,30,unitcube,True,mse,0.014139039441943169,0.08182910829782486,0.10633828490972519
small_sample_linear_autoencoder,aneurysm1,0.01,30,unitcube,True,mse,0.017092863097786903,0.09675344079732895,0.20296964049339294
small_sample_linear_autoencoder,cylinder,0.01,30,unitcube,True,mse,0.004212020430713892,0.040731996297836304,0.945014476776123
small_sample_linear_autoencoder,case_k_003_left,0.01,30,unitcube,False,mse,0.1283651739358902,0.20097367465496063,0.2685958743095398
small_sample_linear_autoencoder,case_k_008_right,0.01,30,unitcube,False,mse,0.02877195179462433,0.11784112453460693,0.36932373046875
small_sample_linear_autoencoder,case_m_006_left,0.01,30,unitcube,False,mse,0.022722948342561722,0.11124217510223389,0.5862475037574768
small_sample_linear_autoencoder,case_w_027_right,0.01,30,unitcube,False,mse,0.03849700465798378,0.13995634019374847,0.24914157390594482
small_sample_linear_autoencoder,case_w_038_left,0.01,30,unitcube,False,mse,0.053277429193258286,0.16207946836948395,0.4121314287185669
small_sample_linear_autoencoder,bifurication,0.01,30,unitcube,False,mse,0.007465445902198553,0.06132693961262703,0.8444836139678955
small_sample_linear_autoencoder,aneurysm2,0.01,30,unitcube,False,mse,0.014497430995106697,0.08431628346443176,0.1377035528421402
small_sample_linear_autoencoder,aneurysm1,0.01,30,unitcube,False,mse,0.01851479709148407,0.10249399393796921,0.1905864179134369
small_sample_linear_autoencoder,cylinder,0.01,30,unitcube,False,mse,0.004806789569556713,0.04701375588774681,0.934959888458252
small_sample_linear_autoencoder,case_k_003_left,0.01,30,zerocenter,True,mse,0.12757200002670288,0.20181839168071747,0.2789439857006073
small_sample_linear_autoencoder,case_k_008_right,0.01,30,zerocenter,True,mse,0.029926635324954987,0.12080158293247223,0.3549604117870331
small_sample_linear_autoencoder,case_m_006_left,0.01,30,zerocenter,True,mse,0.02179492637515068,0.10797706246376038,0.6091325879096985
small_sample_linear_autoencoder,case_w_027_right,0.01,30,zerocenter,True,mse,0.03833246976137161,0.13917630910873413,0.2657327950000763
small_sample_linear_autoencoder,case_w_038_left,0.01,30,zerocenter,True,mse,0.05187181383371353,0.16065500676631927,0.42910265922546387
small_sample_linear_autoencoder,bifurication,0.01,30,zerocenter,True,mse,0.008242362178862095,0.06344705820083618,0.8494971990585327
small_sample_linear_autoencoder,aneurysm2,0.01,30,zerocenter,True,mse,0.01616135612130165,0.08960665762424469,0.11207462102174759
small_sample_linear_autoencoder,aneurysm1,0.01,30,zerocenter,True,mse,0.019066911190748215,0.10199711471796036,0.2057936191558838
small_sample_linear_autoencoder,cylinder,0.01,30,zerocenter,True,mse,0.005445262882858515,0.04770315811038017,0.9408011436462402
small_sample_linear_autoencoder,case_k_003_left,0.01,30,zerocenter,False,mse,0.12787720561027527,0.1995471864938736,0.27111315727233887
small_sample_linear_autoencoder,case_k_008_right,0.01,30,zerocenter,False,mse,0.028397336602211,0.11655370146036148,0.3690791726112366
small_sample_linear_autoencoder,case_m_006_left,0.01,30,zerocenter,False,mse,0.02267841249704361,0.11037034541368484,0.5869448184967041
small_sample_linear_autoencoder,case_w_027_right,0.01,30,zerocenter,False,mse,0.038161493837833405,0.13876613974571228,0.2501872479915619
small_sample_linear_autoencoder,case_w_038_left,0.01,30,zerocenter,False,mse,0.05317224934697151,0.16129302978515625,0.4142343997955322
small_sample_linear_autoencoder,bifurication,0.01,30,zerocenter,False,mse,0.006938082166016102,0.05878716707229614,0.8447850346565247
small_sample_linear_autoencoder,aneurysm2,0.01,30,zerocenter,False,mse,0.014098974876105785,0.08269239962100983,0.13673198223114014
small_sample_linear_autoencoder,aneurysm1,0.01,30,zerocenter,False,mse,0.017972856760025024,0.10080879181623459,0.19121362268924713
small_sample_linear_autoencoder,cylinder,0.01,30,zerocenter,False,mse,0.0045775496400892735,0.0456111915409565,0.9359664916992188
small_sample_linear_autoencoder,case_k_003_left,0.01,30,grid64,False,mse,0.14771811664104462,0.24707497656345367,0.7047016024589539
